feature,train_auc_drop_mean,train_auc_drop_std,train_aupr_drop_mean,train_aupr_drop_std,test_auc_drop_mean,test_auc_drop_std,test_aupr_drop_mean,test_aupr_drop_std
iptm,0.0006370212444744173,3.0296381405321743e-05,0.006511045914525726,0.0003166781755180917,-0.0002503326538929429,0.0007073882541599046,0.0001573747782420254,0.0004255806409637951
if_plddt_min,0.000951807176020264,3.958618800905867e-05,0.009788306862313644,0.0003668586316229308,0.0007113499262270285,0.0007458460177931088,-0.00011771482260551358,0.0005616397849296632
contact_score_median,0.0009173644088668221,2.167180043309576e-05,0.00916248181530659,0.00019840939238902717,0.0005521046231441396,0.0009575564571281394,-0.00015938009017917308,0.0006477459103957481
plddt_B,0.0008335093001844651,1.893409766494743e-05,0.008752446769100442,0.0001868954401167522,-0.0002501722283159591,0.00036055847831152106,-0.00025053069649297874,0.0003038029514152075
if_residues_percent,0.0007173995031007962,3.7783750063437264e-05,0.008336692438982978,0.00038201611548229245,-0.0005621541396446439,0.0007474979226917954,-0.000333156030439502,0.0005154985498309279
pae_max,0.0007966093701604726,3.588217274187777e-05,0.008311835001833556,0.00036942135451126674,-6.510986631062532e-05,0.000619274774496566,-0.0004800185889083375,0.0005123606416767228
atom_contacts_per_residue_avg,0.0007961986628218842,3.4458139479970516e-05,0.008048463927361693,0.00034769328121434824,-0.00032505659585187473,0.0005923981736025333,-0.0005401660016556064,0.0005384225944905467
other_contact_percent,0.003071319046099641,0.00013332916073347434,0.030949754028732946,0.0013138142619318284,-0.0015690308965912003,0.0009701336448965442,-0.000780510518572547,0.001541453144586904
repulsive_contact_percent,0.0019208074109731855,0.00011337164434509805,0.018955506839096782,0.0007733957256699358,0.000413359417004161,0.0008974832021779024,-0.0010092333252605557,0.0004576651302220697
unfiltered_if_pae_mean,0.0007631579655484721,2.8791038442323366e-05,0.007791893603261696,0.00025446646742727333,-0.0007563722185071231,0.000920091809791514,-0.0015782390358544175,0.0006917628438947201
pae_diff_mean,0.000679713564204687,2.3776403473374483e-05,0.007473531997553901,0.0002625287106141913,-0.0004786755447709956,0.0007092095326385767,-0.001759848202440173,0.0007512084028963587
pae_avg,0.0008295721746627959,2.6869041597146968e-05,0.008471816776126162,0.00023599976747137942,-0.001460686337287098,0.0008718844871118231,-0.0022285511935690337,0.0006960828550731832
ptm,0.0018532035668091251,3.021870755300845e-05,0.02065541053403745,0.00031708482804221414,-0.0018152039444525592,0.0005970278555075411,-0.002590346569011026,0.0006146222862115823
